ticker,factor,year,coefficient,t-value
CVX,cma,2011,-0.0876,-0.3282
CVX,mom,2011,0.0595,0.6011
CVX,alpha,2011,0.0008,1.3658
CVX,total_return,2011,0.2032,1.0
CRM,mkt-rf,2011,0.8616,6.2617
CRM,smb,2011,0.2946,1.148
CRM,hml,2011,-1.7733,-4.2163
CRM,rmw,2011,-2.2835,-4.5008
CRM,cma,2011,-1.7446,-3.0507
CRM,mom,2011,0.0077,0.0364
CRM,alpha,2011,-0.0002,-0.1964
CRM,total_return,2011,-0.2313,1.0
ADBE,mkt-rf,2011,1.0249,10.8063
ADBE,smb,2011,0.2063,1.1664
ADBE,hml,2011,-0.5279,-1.8213
ADBE,rmw,2011,-0.273,-0.7808
ADBE,cma,2011,-0.3311,-0.8401
ADBE,mom,2011,-0.2286,-1.5654
ADBE,alpha,2011,-0.0002,-0.2062
ADBE,total_return,2011,-0.0817,1.0
TM,mkt-rf,2011,0.6298,7.6778
TM,smb,2011,-0.2185,-1.4284
TM,hml,2011,-0.0278,-0.1108
TM,rmw,2011,-0.5585,-1.8466
TM,cma,2011,-0.0198,-0.0582
TM,mom,2011,0.0281,0.2221
TM,alpha,2011,-0.0004,-0.504
TM,total_return,2011,-0.1448,1.0
AMD,mkt-rf,2011,1.2258,6.985
AMD,smb,2011,-0.1009,-0.3084
AMD,hml,2011,-2.8151,-5.2488
AMD,rmw,2011,-2.6422,-4.0837
AMD,cma,2011,0.4046,0.5548
AMD,mom,2011,-0.9956,-3.6838
AMD,alpha,2011,-0.0003,-0.2056
AMD,total_return,2011,-0.3401,1.0
BAC,mkt-rf,2011,1.0177,8.0693
BAC,smb,2011,-0.2239,-0.9519
BAC,hml,2011,2.7658,7.175
BAC,rmw,2011,-2.1046,-4.5259
BAC,cma,2011,-1.8641,-3.5564
BAC,mom,2011,0.1613,0.8306
BAC,alpha,2011,-0.0012,-1.1187
BAC,total_return,2011,-0.5812,1.0
KO,mkt-rf,2011,0.7736,15.5317
KO,smb,2011,-0.1875,-2.0191
KO,hml,2011,0.2337,1.5354
KO,rmw,2011,0.7808,4.2522
KO,cma,2011,0.0248,0.1197
KO,mom,2011,0.0829,1.0802
KO,alpha,2011,-0.0001,-0.1314
KO,total_return,2011,0.0948,1.0
NFLX,mkt-rf,2011,0.4893,1.7325
NFLX,smb,2011,0.8908,1.6912
NFLX,hml,2011,-1.4336,-1.6606
NFLX,rmw,2011,-1.3581,-1.3041
NFLX,cma,2011,-1.673,-1.4253
NFLX,mom,2011,-0.0555,-0.1276
NFLX,alpha,2011,-0.0025,-1.0303
NFLX,total_return,2011,-0.6056,1.0
PEP,mkt-rf,2011,0.6055,9.9914
PEP,smb,2011,-0.0265,-0.2346
PEP,hml,2011,0.3334,1.8
PEP,rmw,2011,0.8547,3.8252
PEP,cma,2011,0.1106,0.4391
PEP,mom,2011,-0.0701,-0.7515
PEP,alpha,2011,-0.0001,-0.2356
