Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,MarketCap
20041028,54,MCD,18.23000000,18.32000000,18.17000000,18.28000000,29.03000000,18.28000000,18.28000000,58134,0,58134,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041029,54,MCD,18.15000000,18.35000000,18.06000000,18.35000000,29.15000000,18.35000000,18.35000000,65919,0,65919,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041101,54,MCD,18.29000000,18.63000000,18.26000000,18.62000000,29.58000000,18.62000000,18.62000000,70022,0,70022,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041102,54,MCD,18.57000000,18.72000000,18.29000000,18.38000000,29.19000000,18.38000000,18.38000000,67583,0,67583,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041103,54,MCD,18.36000000,18.53000000,18.11000000,18.45000000,29.31000000,18.45000000,18.45000000,94078,0,94078,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041104,54,MCD,18.46000000,18.69000000,18.45000000,18.65000000,29.63000000,18.65000000,18.65000000,125803,0,125803,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041105,54,MCD,18.72000000,19.04000000,18.67000000,18.92000000,30.06000000,18.92000000,18.92000000,119268,0,119268,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041108,54,MCD,19.14000000,19.52000000,18.91000000,19.01000000,30.20000000,19.01000000,19.01000000,134311,0,134311,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041109,54,MCD,18.94000000,19.07000000,18.84000000,19.00000000,30.18000000,19.00000000,19.00000000,64160,0,64160,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041110,54,MCD,19.21000000,19.41000000,19.11000000,19.25000000,30.02000000,19.25000000,19.25000000,84305,0,84305,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
