Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,MarketCap
20120723,54,WEN,3.83000000,3.86000000,3.74000000,3.78000000,4.51000000,3.78000000,3.78000000,26935,0,26935,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1760238,390297,0.000,0.000,0.000,0.000,N/A,N/A,1760238
20120724,54,WEN,3.78000000,3.80000000,3.69000000,3.70000000,4.41000000,3.70000000,3.70000000,23271,0,23271,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1721208,390297,0.000,0.000,0.000,0.000,N/A,N/A,1721208
20120725,54,WEN,3.71000000,3.74000000,3.68000000,3.72000000,4.43000000,3.72000000,3.72000000,16667,0,16667,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1729014,390297,0.000,0.000,0.000,0.000,N/A,N/A,1729014
20120726,54,WEN,3.74000000,3.77000000,3.72000000,3.76000000,4.48000000,3.76000000,3.76000000,27526,0,27526,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1748529,390297,0.000,0.000,0.000,0.000,N/A,N/A,1748529
20120727,54,WEN,3.77000000,3.82000000,3.74000000,3.82000000,4.55000000,3.82000000,3.82000000,18509,0,18509,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1775849,390297,0.000,0.000,0.000,0.000,N/A,N/A,1775849
20120730,54,WEN,3.80000000,3.86000000,3.80000000,3.85000000,4.59000000,3.85000000,3.85000000,23471,0,23471,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1791461,390297,0.000,0.000,0.000,0.000,N/A,N/A,1791461
20120731,54,WEN,3.86000000,3.87000000,3.81000000,3.85000000,4.59000000,3.85000000,3.85000000,15198,0,15198,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1791461,390297,0.000,0.000,0.000,0.000,N/A,N/A,1791461
20120801,54,WEN,3.86000000,3.86000000,3.79000000,3.79000000,4.52000000,3.79000000,3.79000000,11554,0,11554,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1766126,390736,0.000,0.000,0.000,0.000,N/A,N/A,1766126
20120802,54,WEN,3.78000000,3.79000000,3.72000000,3.75000000,4.47000000,3.75000000,3.75000000,17227,0,17227,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1746589,390736,0.000,0.000,0.000,0.000,N/A,N/A,1746589
20120803,54,WEN,3.77000000,3.80000000,3.75000000,3.77000000,4.49000000,3.77000000,3.77000000,21773,0,21773,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1754404,390736,0.000,0.000,0.000,0.000,N/A,N/A,1754404
20120806,54,WEN,3.81000000,3.84000000,3.78000000,3.81000000,4.54000000,3.81000000,3.81000000,20219,0,20219,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1773940,390736,0.000,0.000,0.000,0.000,N/A,N/A,1773940
20120807,54,WEN,3.80000000,3.86000000,3.79000000,3.82000000,4.55000000,3.82000000,3.82000000,26051,0,26051,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1777848,390736,0.000,0.000,0.000,0.000,N/A,N/A,1777848
20120808,54,WEN,3.82000000,3.85000000,3.80000000,3.81000000,4.54000000,3.81000000,3.81000000,22807,0,22807,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1773940,390736,0.000,0.000,0.000,0.000,N/A,N/A,1773940
20120809,54,WEN,3.90000000,3.95000000,3.81000000,3.84000000,4.58000000,3.84000000,3.84000000,33431,0,33431,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1789570,390736,0.000,0.000,0.000,0.000,N/A,N/A,1789570
20120810,54,WEN,3.82000000,3.85000000,3.70000000,3.73000000,4.45000000,3.73000000,3.73000000,46830,0,46830,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1738774,390736,0.000,0.000,0.000,0.000,N/A,N/A,1738774
20120813,54,WEN,3.73000000,3.73000000,3.66000000,3.67000000,4.37000000,3.67000000,3.67000000,29832,0,29832,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1707515,390736,0.000,0.000,0.000,0.000,N/A,N/A,1707515
20120814,54,WEN,3.65000000,3.72000000,3.65000000,3.67000000,4.38000000,3.67000000,3.67000000,38973,0,38973,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1711423,390736,0.000,0.000,0.000,0.000,N/A,N/A,1711423
20120815,54,WEN,3.69000000,3.70000000,3.67000000,3.69000000,4.40000000,3.69000000,3.69000000,50223,0,50223,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1719237,390736,0.000,0.000,0.000,0.000,N/A,N/A,1719237
20120816,54,WEN,3.69000000,3.72000000,3.67000000,3.68000000,4.39000000,3.68000000,3.68000000,21906,0,21906,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1715330,390736,0.000,0.000,0.000,0.000,N/A,N/A,1715330
20120817,54,WEN,3.67000000,3.69000000,3.64000000,3.67000000,4.37000000,3.67000000,3.67000000,27247,0,27247,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1707515,390736,0.000,0.000,0.000,0.000,N/A,N/A,1707515
20120820,54,WEN,3.66000000,3.69000000,3.64000000,3.65000000,4.35000000,3.65000000,3.65000000,26019,0,26019,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1699701,390736,0.000,0.000,0.000,0.000,N/A,N/A,1699701
20120821,54,WEN,3.66000000,3.66000000,3.61000000,3.65000000,4.35000000,3.65000000,3.65000000,21499,0,21499,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1699701,390736,0.000,0.000,0.000,0.000,N/A,N/A,1699701
20120822,54,WEN,3.65000000,3.65000000,3.61000000,3.63000000,4.33000000,3.63000000,3.63000000,11648,0,11648,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1691886,390736,0.000,0.000,0.000,0.000,N/A,N/A,1691886
20120823,54,WEN,3.62000000,3.63000000,3.53000000,3.57000000,4.26000000,3.57000000,3.57000000,42482,0,42482,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1664534,390736,0.000,0.000,0.000,0.000,N/A,N/A,1664534
20120824,54,WEN,3.55000000,3.68000000,3.49000000,3.67000000,4.37000000,3.67000000,3.67000000,84479,0,84479,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1707515,390736,0.000,0.000,0.000,0.000,N/A,N/A,1707515
20120827,54,WEN,3.70000000,3.70000000,3.64000000,3.66000000,4.36000000,3.66000000,3.66000000,25606,0,25606,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1703608,390736,0.000,0.000,0.000,0.000,N/A,N/A,1703608
20120828,54,WEN,3.64000000,3.67000000,3.61000000,3.65000000,4.35000000,3.65000000,3.65000000,27256,0,27256,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1699701,390736,0.000,0.000,0.000,0.000,N/A,N/A,1699701
20120829,54,WEN,3.67000000,3.68000000,3.64000000,3.67000000,4.37000000,3.67000000,3.67000000,9388,0,9388,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1707515,390736,0.000,0.000,0.000,0.000,N/A,N/A,1707515
20120830,54,WEN,3.67000000,3.67000000,3.62000000,3.63000000,4.31000000,3.63000000,3.63000000,16950,0,16950,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1684071,390736,0.000,0.000,0.000,0.000,N/A,N/A,1684071
20120831,54,WEN,3.63000000,3.66000000,3.58000000,3.60000000,4.27000000,3.60000000,3.60000000,21092,0,21092,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1668442,390736,0.000,0.000,0.000,0.000,N/A,N/A,1668442
20120903,54,WEN,3.63000000,3.66000000,3.58000000,3.60000000,4.27000000,4.27000000,3.60000000,0,0,0,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20120904,54,WEN,3.60000000,3.65000000,3.58000000,3.64000000,4.32000000,3.64000000,3.64000000,21269,0,21269,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1687979,390736,0.000,0.000,0.000,0.000,N/A,N/A,1687979
20120905,54,WEN,3.62000000,3.73000000,3.62000000,3.72000000,4.42000000,3.72000000,3.72000000,31403,0,31403,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1727052,390736,0.000,0.000,0.000,0.000,N/A,N/A,1727052
20120906,54,WEN,3.73000000,3.77000000,3.71000000,3.77000000,4.47000000,3.77000000,3.77000000,30346,0,30346,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1746589,390736,0.000,0.000,0.000,0.000,N/A,N/A,1746589
20120907,54,WEN,3.77000000,3.77000000,3.70000000,3.75000000,4.45000000,3.75000000,3.75000000,39137,0,39137,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1738774,390736,0.000,0.000,0.000,0.000,N/A,N/A,1738774
20120910,54,WEN,3.76000000,3.77000000,3.70000000,3.71000000,4.40000000,3.71000000,3.71000000,34517,0,34517,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1719237,390736,0.000,0.000,0.000,0.000,N/A,N/A,1719237
20120911,54,WEN,3.72000000,3.77000000,3.71000000,3.75000000,4.45000000,3.75000000,3.75000000,19957,0,19957,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1738774,390736,0.000,0.000,0.000,0.000,N/A,N/A,1738774
20120912,54,WEN,3.75000000,3.83000000,3.73000000,3.82000000,4.53000000,3.82000000,3.82000000,26843,0,26843,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1770033,390736,0.000,0.000,0.000,0.000,N/A,N/A,1770033
20120913,54,WEN,3.82000000,3.84000000,3.80000000,3.84000000,4.56000000,3.84000000,3.84000000,23117,0,23117,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1781755,390736,0.000,0.000,0.000,0.000,N/A,N/A,1781755
20120914,54,WEN,3.83000000,3.89000000,3.82000000,3.86000000,4.58000000,3.86000000,3.86000000,23396,0,23396,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1789570,390736,0.000,0.000,0.000,0.000,N/A,N/A,1789570
20120917,54,WEN,3.85000000,3.85000000,3.72000000,3.72000000,4.41000000,3.72000000,3.72000000,35284,0,35284,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1723145,390736,0.000,0.000,0.000,0.000,N/A,N/A,1723145
20120918,54,WEN,3.75000000,3.77000000,3.72000000,3.72000000,4.42000000,3.72000000,3.72000000,43354,0,43354,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1727052,390736,0.000,0.000,0.000,0.000,N/A,N/A,1727052
